MODEL,CreatedDate
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/09/2023
SANTA FE 1.6 TURBO HYBRID (S/R),29/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,29/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/09/2023
STARIA 3.5 AUTO (S/R),30/09/2023
SANTA FE 1.6 TURBO HYBRID (S/R),30/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),01/10/2023
TUCSON 1.6 TURBO HYBRID (S/R),01/10/2023
KONA 1.6 DCT GL HYBRID,01/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/10/2023
IONIQ 5 ELECTRIC INSPIRATION AWD,01/10/2023
SANTA FE 1.6 TURBO HYBRID (S/R),01/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),02/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),02/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),03/10/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,03/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),06/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),07/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),07/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),08/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),08/10/2023
KONA 1.6 DCT GL HYBRID,08/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),08/10/2023
KONA 1.6 DCT GL HYBRID,09/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),10/10/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,12/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/10/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,13/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/10/2023
IONIQ 6 ELECTRIC AWD,14/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),14/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,14/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),14/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,15/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),15/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),21/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,21/10/2023
TUCSON 1.6 TURBO HYBRID (S/R),21/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,23/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,23/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),23/10/2023
IONIQ 6 ELECTRIC AWD,24/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,26/10/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,26/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),27/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,27/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/10/2023
